DayOfWeek	Date	Time	Season	IndoorTemperature	OutdoorTemperature	Heat	Fan	AC	NumberOfPeople
Sun	5/13/17	9	Spring	16	12	on	off	on	1
Mon	5/14/17	9	Spring	25	5	on	off	on	1
Tue	5/15/17	9	Spring	19	11	on	off	on	1
Wed	5/16/17	9	Spring	24	7	on	off	on	1
Thu	5/17/17	9	Spring	19	11	on	off	on	1
Fri	5/18/17	9	Spring	22	7	on	off	on	1
Sat	5/19/17	9	Spring	24	19	off	on	off	1
Sun	5/20/17	9	Spring	17	25	off	on	off	1
Mon	5/21/17	9	Spring	20	19	off	on	off	1
Tue	5/22/17	9	Spring	25	13	off	on	off	1
Wed	5/23/17	9	Spring	20	28	off	on	off	1
Thu	5/24/17	9	Spring	15	16	off	on	off	1
Fri	5/25/17	9	Spring	19	19	off	on	off	1
Sat	5/26/17	9	Spring	28	29	off	on	off	1
Sun	5/27/17	9	Spring	21	16	off	on	off	1
Mon	5/28/17	9	Spring	26	26	off	on	off	1
Tue	5/29/17	9	Spring	18	12	off	on	off	1
Wed	5/30/17	9	Spring	27	11	off	on	off	1
Thu	5/31/17	9	Spring	16	16	off	on	off	1
Fri	6/1/17	9	Spring	21	22	off	on	off	1
Sat	6/2/17	9	Spring	25	17	off	on	off	1
Sun	6/3/17	9	Spring	20	25	off	on	off	1
Mon	6/4/17	9	Spring	15	26	off	on	off	1
Tue	6/5/17	9	Spring	18	21	off	on	off	1
Wed	6/6/17	9	Spring	20	22	off	on	off	1
Thu	6/7/17	9	Spring	25	14	off	on	off	1
Fri	6/8/17	9	Spring	24	21	off	on	off	1
Sat	6/9/17	9	Spring	22	10	off	on	off	1
Sun	6/10/17	9	Spring	23	25	off	on	off	1
Mon	6/11/17	9	Spring	21	22	off	on	off	1
Tue	6/12/17	9	Spring	20	20	off	on	off	1
Wed	6/13/17	9	Spring	22	29	off	on	off	1
Thu	6/14/17	9	Spring	20	29	off	on	off	1
Fri	6/15/17	9	Spring	22	27	off	on	off	1
Sat	6/16/17	9	Spring	16	17	off	on	off	1
Sun	6/17/17	9	Spring	24	25	off	on	off	1
Mon	6/18/17	9	Spring	16	11	off	on	off	1
Tue	6/19/17	9	Spring	25	26	off	on	off	1
Wed	6/20/17	9	Spring	15	17	off	on	off	1
Thu	6/21/17	9	Spring	16	16	off	on	off	1
Fri	6/22/17	9	Summer	18	11	off	on	off	1
Sat	6/23/17	9	Summer	26	18	off	on	off	1
Sun	6/24/17	9	Summer	15	28	off	on	off	1
Mon	6/25/17	9	Summer	23	21	off	on	off	1
Tue	6/26/17	9	Summer	24	15	off	on	off	1
Wed	6/27/17	9	Summer	27	17	off	on	off	1
Thu	6/28/17	9	Summer	24	18	off	on	off	1
Fri	6/29/17	9	Summer	24	21	off	on	off	1
Sat	6/30/17	9	Summer	25	29	off	on	off	1
Sun	7/1/17	9	Summer	21	27	off	on	off	1
Mon	7/2/17	9	Summer	18	13	off	on	off	1
Tue	7/3/17	9	Summer	17	16	off	on	off	1
Wed	7/4/17	9	Summer	16	14	off	on	off	1
Thu	7/5/17	9	Summer	28	28	off	on	off	1
Fri	7/6/17	9	Summer	20	18	off	on	off	1
Sat	7/7/17	9	Summer	26	15	off	on	off	1
Sun	7/8/17	9	Summer	24	16	off	on	off	1
Mon	7/9/17	9	Summer	20	29	off	on	off	1
Tue	7/10/17	9	Summer	23	17	off	on	off	1
Wed	7/11/17	9	Summer	25	28	off	on	off	1
Thu	7/12/17	9	Summer	25	20	off	on	off	1
Fri	7/13/17	9	Summer	17	11	off	on	off	1
Sat	7/14/17	9	Summer	23	10	off	on	off	1
Sun	7/15/17	9	Summer	15	26	off	on	off	1
Mon	7/16/17	9	Summer	23	20	off	on	off	1
Tue	7/17/17	9	Summer	27	21	off	on	off	1
Wed	7/18/17	9	Summer	21	17	off	on	off	1
Thu	7/19/17	9	Summer	15	27	off	on	off	1
Fri	7/20/17	9	Summer	25	29	off	on	off	1
Sat	7/21/17	9	Summer	23	21	off	on	off	1
Sun	7/22/17	9	Summer	28	11	off	on	off	1
Mon	7/23/17	9	Summer	21	14	off	on	off	1
Tue	7/24/17	9	Summer	19	23	off	on	off	1
Wed	7/25/17	9	Summer	25	25	off	on	off	1
Thu	7/26/17	9	Summer	18	13	off	on	off	1
Fri	7/27/17	9	Summer	15	10	off	on	off	1
Sat	7/28/17	9	Summer	20	22	off	on	off	1
Sun	7/29/17	9	Summer	23	30	off	on	off	1
Mon	7/30/17	9	Summer	17	22	off	on	off	1
Tue	7/31/17	9	Summer	21	10	off	on	off	1
Wed	8/1/17	9	Summer	24	10	off	on	off	1
Thu	8/2/17	9	Summer	17	28	off	on	off	1
Fri	8/3/17	9	Summer	17	17	off	on	off	1
Sat	8/4/17	9	Summer	15	28	off	on	off	1
Sun	8/5/17	9	Summer	25	22	off	on	off	1
Mon	8/6/17	9	Summer	18	29	off	on	off	1
Tue	8/7/17	9	Summer	27	21	off	on	off	1
Wed	8/8/17	9	Summer	22	16	off	on	off	1
Thu	8/9/17	9	Summer	22	27	off	on	off	1
Fri	8/10/17	9	Summer	19	26	off	on	off	1
Sat	8/11/17	9	Summer	24	12	off	on	off	1
Sun	8/12/17	9	Summer	17	21	off	on	off	1
Mon	8/13/17	9	Summer	24	20	off	on	off	1
Tue	8/14/17	9	Summer	23	27	off	on	off	1
Wed	8/15/17	9	Summer	21	22	off	on	off	1
Thu	8/16/17	9	Summer	16	25	off	on	off	1
Fri	8/17/17	9	Summer	28	18	off	on	off	1
Sat	8/18/17	9	Summer	18	11	off	on	off	1
Sun	8/19/17	9	Summer	16	16	off	on	off	1
Mon	8/20/17	9	Summer	19	26	off	on	off	1
Tue	8/21/17	9	Summer	27	24	off	on	off	1
Wed	8/22/17	9	Summer	16	11	off	on	off	1
Thu	8/23/17	9	Summer	15	22	off	on	off	1
Fri	8/24/17	9	Summer	21	23	off	on	off	1
Sat	8/25/17	9	Summer	15	30	off	on	off	1
Sun	8/26/17	9	Summer	24	28	off	on	off	1
Mon	8/27/17	9	Summer	27	26	off	on	off	1
Tue	8/28/17	9	Summer	15	12	off	on	off	1
Wed	8/29/17	9	Summer	21	26	off	on	off	1
Thu	8/30/17	9	Summer	20	22	off	on	off	1
Fri	8/31/17	9	Summer	17	26	off	on	off	1
Sat	9/1/17	9	Summer	18	12	off	on	off	1
Sun	9/2/17	9	Summer	25	28	off	on	off	1
Mon	9/3/17	9	Summer	17	25	off	on	off	1
Tue	9/4/17	9	Summer	27	18	off	on	off	1
Wed	9/5/17	9	Summer	26	16	off	on	off	1
Thu	9/6/17	9	Summer	27	27	off	on	off	1
Fri	9/7/17	9	Summer	26	15	off	on	off	1
Sat	9/8/17	9	Summer	27	29	off	on	off	1
Sun	9/9/17	9	Summer	28	10	off	on	off	1
Mon	9/10/17	9	Summer	19	29	off	on	off	1
Tue	9/11/17	9	Summer	22	18	off	on	off	1
Wed	9/12/17	9	Summer	21	12	off	on	off	1
Thu	9/13/17	9	Summer	28	17	off	on	off	1
Fri	9/14/17	9	Summer	27	28	off	on	off	1
Sat	9/15/17	9	Summer	15	24	off	on	off	1
Sun	9/16/17	9	Summer	17	19	off	on	off	1
Mon	9/17/17	9	Summer	18	29	off	on	off	1
Tue	9/18/17	9	Summer	23	12	off	on	off	1
Wed	9/19/17	9	Summer	24	25	off	on	off	1
Thu	9/20/17	9	Summer	25	11	off	on	off	1
Fri	9/21/17	9	Summer	26	24	off	on	off	1
Sat	9/22/17	9	Summer	16	18	off	on	off	1
Sun	9/23/17	9	Fall	16	13	off	on	off	1
Mon	9/24/17	9	Fall	21	25	off	on	off	1
Tue	9/25/17	9	Fall	21	25	off	on	off	1
Wed	9/26/17	9	Fall	16	19	off	on	off	1
Thu	9/27/17	9	Fall	20	19	off	on	off	1
Fri	9/28/17	9	Fall	25	19	off	on	off	1
Sat	9/29/17	9	Fall	18	25	off	on	off	1
Sun	9/30/17	9	Fall	27	22	off	on	off	1
Mon	10/1/17	9	Fall	21	17	off	on	off	1
Tue	10/2/17	9	Fall	28	21	off	on	off	1
Wed	10/3/17	9	Fall	24	11	off	on	off	1
Thu	10/4/17	9	Fall	15	19	off	on	off	1
Fri	10/5/17	9	Fall	26	11	off	on	off	1
Sat	10/6/17	9	Fall	18	22	off	on	off	1
Sun	10/7/17	9	Fall	16	11	off	on	off	1
Mon	10/8/17	9	Fall	28	19	off	on	off	1
Tue	10/9/17	9	Fall	16	21	off	on	off	1
Wed	10/10/17	9	Fall	17	17	off	on	off	1
Thu	10/11/17	9	Fall	27	11	off	on	off	1
Fri	10/12/17	9	Fall	17	30	off	on	off	1
Sat	10/13/17	9	Fall	21	19	off	on	off	1
Sun	10/14/17	9	Fall	23	17	off	on	off	1
Mon	10/15/17	9	Fall	28	17	off	on	off	1
Tue	10/16/17	9	Fall	19	23	off	on	off	1
Wed	10/17/17	9	Fall	25	28	off	on	off	1
Thu	10/18/17	9	Fall	28	29	off	on	off	1
Fri	10/19/17	9	Fall	16	24	off	on	off	1
Sat	10/20/17	9	Fall	20	17	off	on	off	1
Sun	10/21/17	9	Fall	24	29	off	on	off	1
Mon	10/22/17	9	Fall	15	11	off	on	off	1
Tue	10/23/17	9	Fall	27	22	off	on	off	1
Wed	10/24/17	9	Fall	17	29	off	on	off	1
Thu	10/25/17	9	Fall	27	20	off	on	off	1
Fri	10/26/17	9	Fall	22	22	off	on	off	1
Sat	10/27/17	9	Fall	26	17	off	on	off	1
Sun	10/28/17	9	Fall	27	28	off	on	off	1
Mon	10/29/17	9	Fall	26	28	off	on	off	1
Tue	10/30/17	9	Fall	28	25	off	on	off	1
Wed	10/31/17	9	Fall	15	28	off	on	off	1
Thu	11/1/17	9	Fall	22	22	off	on	off	1
Fri	11/2/17	9	Fall	25	14	off	on	off	1
Sat	11/3/17	9	Fall	22	20	off	on	off	1
Sun	11/4/17	9	Fall	19	26	off	on	off	1
Mon	11/5/17	9	Fall	15	15	off	on	off	1
Tue	11/6/17	9	Fall	28	9	on	off	on	1
Wed	11/7/17	9	Fall	24	9	on	off	on	1
Thu	11/8/17	9	Fall	23	9	on	off	on	1
Fri	11/9/17	9	Fall	28	13	on	off	on	1
Sat	11/10/17	9	Fall	25	8	on	off	on	1
Sun	11/11/17	9	Fall	20	8	on	off	on	1
Mon	11/12/17	9	Fall	21	9	on	off	on	1
Tue	11/13/17	9	Fall	26	9	on	off	on	1
Wed	11/14/17	9	Fall	20	10	on	off	on	1
Thu	11/15/17	9	Fall	16	5	on	off	on	1
Fri	11/16/17	9	Fall	18	5	on	off	on	1
Sat	11/17/17	9	Fall	17	8	on	off	on	1
Sun	11/18/17	9	Fall	24	9	on	off	on	1
Mon	11/19/17	9	Fall	20	8	on	off	on	1
Tue	11/20/17	9	Fall	23	13	on	off	on	1
Wed	11/21/17	9	Fall	23	5	on	off	on	1
Thu	11/22/17	9	Fall	18	5	on	off	on	1
Fri	11/23/17	9	Fall	23	10	on	off	on	1
Sat	11/24/17	9	Fall	23	8	on	off	on	1
Sun	11/25/17	9	Fall	20	11	on	off	on	1
Mon	11/26/17	9	Fall	20	8	on	off	on	1
Tue	11/27/17	9	Fall	18	15	on	off	on	1
Wed	11/28/17	9	Fall	19	13	on	off	on	1
Thu	11/29/17	9	Fall	15	8	on	off	on	1
Fri	11/30/17	9	Fall	15	7	on	off	on	1
Sat	12/1/17	9	Fall	26	12	on	off	on	1
Sun	12/2/17	9	Fall	15	14	on	off	on	1
Mon	12/3/17	9	Fall	25	12	on	off	on	1
Tue	12/4/17	9	Fall	26	11	on	off	on	1
Wed	12/5/17	9	Fall	27	8	on	off	on	1
Thu	12/6/17	9	Fall	20	9	on	off	on	1
Fri	12/7/17	9	Fall	18	11	on	off	on	1
Sat	12/8/17	9	Fall	16	9	on	off	on	1
Sun	12/9/17	9	Fall	17	13	on	off	on	1
Mon	12/10/17	9	Fall	27	8	on	off	on	1
Tue	12/11/17	9	Fall	15	7	on	off	on	1
Wed	12/12/17	9	Fall	21	7	on	off	on	1
Thu	12/13/17	9	Fall	18	9	on	off	on	1
Fri	12/14/17	9	Fall	19	12	on	off	on	1
Sat	12/15/17	9	Fall	20	14	on	off	on	1
Sun	12/16/17	9	Fall	22	13	on	off	on	1
Mon	12/17/17	9	Fall	24	8	on	off	on	1
Tue	12/18/17	9	Fall	15	9	on	off	on	1
Wed	12/19/17	9	Fall	23	10	on	off	on	1
Thu	12/20/17	9	Fall	20	7	on	off	on	1
Fri	12/21/17	9	Fall	25	13	on	off	on	1
Sat	12/22/17	9	Winter	21	7	on	off	on	1
Sun	12/23/17	9	Winter	26	10	on	off	on	1
Mon	12/24/17	9	Winter	27	11	on	off	on	1
Tue	12/25/17	9	Winter	20	10	on	off	on	1
Wed	12/26/17	9	Winter	25	11	on	off	on	1
Thu	12/27/17	9	Winter	20	14	on	off	on	1
Fri	12/28/17	9	Winter	16	6	on	off	on	1
Sat	12/29/17	9	Winter	23	11	on	off	on	1
Sun	12/30/17	9	Winter	19	7	on	off	on	1
Mon	1/1/17	13	Winter	16	-9	on	off	on	2
Tue	1/2/17	13	Winter	23	2	on	off	on	2
Wed	1/3/17	13	Winter	26	-3	on	off	on	2
Thu	1/4/17	13	Winter	18	-1	on	off	on	2
Fri	1/5/17	13	Winter	15	-3	on	off	on	2
Sat	1/6/17	13	Winter	23	-10	on	off	on	2
Sun	1/7/17	13	Winter	26	-4	on	off	on	2
Mon	1/8/17	13	Winter	19	1	on	off	on	2
Tue	1/9/17	13	Winter	21	7	on	off	on	2
Wed	1/10/17	13	Winter	24	0	on	off	on	2
Thu	1/11/17	13	Winter	28	-8	on	off	on	2
Fri	1/12/17	13	Winter	16	-7	on	off	on	2
Sat	1/13/17	13	Winter	16	-8	on	off	on	2
Sun	1/14/17	13	Winter	22	-10	on	off	on	2
Mon	1/15/17	13	Winter	24	1	on	off	on	2
Tue	1/16/17	13	Winter	26	-9	on	off	on	2
Wed	1/17/17	13	Winter	20	-1	on	off	on	2
Thu	1/18/17	13	Winter	27	-2	on	off	on	2
Fri	1/19/17	13	Winter	24	-3	on	off	on	2
Sat	1/20/17	13	Winter	23	-8	on	off	on	2
Sun	1/21/17	13	Winter	21	2	on	off	on	2
Mon	1/22/17	13	Winter	20	4	on	off	on	2
Tue	1/23/17	13	Winter	23	3	on	off	on	2
Wed	1/24/17	13	Winter	23	7	on	off	on	2
Thu	1/25/17	13	Winter	24	8	on	off	on	2
Fri	1/26/17	13	Winter	16	1	on	off	on	2
Sat	1/27/17	13	Winter	18	-9	on	off	on	2
Sun	1/28/17	13	Winter	24	2	on	off	on	2
Mon	1/29/17	13	Winter	20	2	on	off	on	2
Tue	1/30/17	13	Winter	26	6	on	off	on	2
Wed	1/31/17	13	Winter	15	4	on	off	on	2
Thu	2/1/17	13	Winter	18	-9	on	off	on	2
Fri	2/2/17	13	Winter	24	-4	on	off	on	2
Sat	2/3/17	13	Winter	19	-2	on	off	on	2
Sun	2/4/17	13	Winter	22	1	on	off	on	2
Mon	2/5/17	13	Winter	23	-2	on	off	on	2
Tue	2/6/17	13	Winter	25	-3	on	off	on	2
Wed	2/7/17	13	Winter	27	7	on	off	on	2
Thu	2/8/17	13	Winter	21	3	on	off	on	2
Fri	2/9/17	13	Winter	25	-10	on	off	on	2
Sat	2/10/17	13	Winter	21	5	on	off	on	2
Sun	2/11/17	13	Winter	20	-6	on	off	on	2
Mon	2/12/17	13	Winter	28	-3	on	off	on	2
Tue	2/13/17	13	Winter	21	8	on	off	on	2
Wed	2/14/17	13	Winter	15	-5	on	off	on	2
Thu	2/15/17	13	Winter	28	-2	on	off	on	2
Fri	2/16/17	13	Winter	20	7	on	off	on	2
Sat	2/17/17	13	Winter	28	-8	on	off	on	2
Sun	2/18/17	13	Winter	21	-7	on	off	on	2
Mon	2/19/17	13	Winter	16	-10	on	off	on	2
Tue	2/20/17	13	Winter	16	7	on	off	on	2
Wed	2/21/17	13	Winter	16	-4	on	off	on	2
Thu	2/22/17	13	Winter	18	8	on	off	on	2
Fri	2/23/17	13	Winter	17	5	on	off	on	2
Sat	2/24/17	13	Winter	22	-8	on	off	on	2
Sun	2/25/17	13	Winter	24	6	on	off	on	2
Mon	2/26/17	13	Winter	19	5	on	off	on	2
Tue	2/27/17	13	Winter	23	0	on	off	on	2
Wed	2/28/17	13	Winter	24	4	on	off	on	2
Thu	3/1/17	13	Winter	25	-2	on	off	on	2
Fri	3/2/17	13	Winter	26	-7	on	off	on	2
Sat	3/3/17	13	Winter	23	-9	on	off	on	2
Sun	3/4/17	13	Winter	16	-6	on	off	on	2
Mon	3/5/17	13	Winter	22	10	on	off	on	2
Tue	3/6/17	13	Winter	18	-1	on	off	on	2
Wed	3/7/17	13	Winter	19	-4	on	off	on	2
Thu	3/8/17	13	Winter	24	10	on	off	on	2
Fri	3/9/17	13	Winter	22	-3	on	off	on	2
Sat	3/10/17	13	Winter	26	-2	on	off	on	2
Sun	3/11/17	13	Winter	22	2	on	off	on	2
Mon	3/12/17	13	Winter	28	2	on	off	on	2
Tue	3/13/17	13	Winter	23	-8	on	off	on	2
Wed	3/14/17	13	Winter	27	-5	on	off	on	2
Thu	3/15/17	13	Winter	19	-4	on	off	on	2
Fri	3/16/17	13	Winter	28	-4	on	off	on	2
Sat	3/17/17	13	Winter	22	8	on	off	on	2
Sun	3/18/17	13	Winter	17	-9	on	off	on	2
Mon	3/19/17	13	Spring	26	-3	on	off	on	2
Tue	3/20/17	13	Spring	19	-7	on	off	on	2
Wed	3/21/17	13	Spring	16	9	on	off	on	2
Thu	3/22/17	13	Spring	24	0	on	off	on	2
Fri	3/23/17	13	Spring	28	6	on	off	on	2
Sat	3/24/17	13	Spring	26	5	on	off	on	2
Sun	3/25/17	13	Spring	20	-4	on	off	on	2
Mon	3/26/17	13	Spring	19	-4	on	off	on	2
Tue	3/27/17	13	Spring	16	-1	on	off	on	2
Wed	3/28/17	13	Spring	15	-8	on	off	on	2
Thu	3/29/17	13	Spring	20	-7	on	off	on	2
Fri	3/30/17	13	Spring	27	-7	on	off	on	2
Sat	3/31/17	13	Spring	15	-9	on	off	on	2
Sun	4/1/17	13	Spring	27	4	on	off	on	2
Mon	4/2/17	13	Spring	18	8	on	on	on	2
Tue	4/3/17	13	Spring	23	8	on	off	on	2
Wed	4/4/17	13	Spring	20	6	on	off	on	2
Thu	4/5/17	13	Spring	17	9	on	off	on	2
Fri	4/6/17	13	Spring	27	2	on	on	on	2
Sat	4/7/17	13	Spring	16	5	on	on	on	2
Sun	4/8/17	13	Spring	28	10	on	off	on	2
Mon	4/9/17	13	Spring	23	10	on	off	on	2
Tue	4/10/17	13	Spring	25	8	on	off	on	2
Wed	4/11/17	13	Spring	20	6	on	off	on	2
Thu	4/12/17	13	Spring	15	2	on	off	on	2
Fri	4/13/17	13	Spring	25	8	on	off	on	2
Sat	4/14/17	13	Spring	17	6	on	off	on	2
Sun	4/15/17	13	Spring	18	1	on	off	on	2
Mon	4/16/17	13	Spring	22	11	on	off	on	2
Tue	4/17/17	13	Spring	21	7	on	off	on	2
Wed	4/18/17	13	Spring	20	12	on	off	on	2
Thu	4/19/17	13	Spring	25	10	on	off	on	2
Fri	4/20/17	13	Spring	28	3	on	off	on	2
Sat	4/21/17	13	Spring	18	6	on	off	on	2
Sun	4/22/17	13	Spring	27	8	on	off	on	2
Mon	4/23/17	13	Spring	26	11	on	off	on	2
Tue	4/24/17	13	Spring	26	10	on	off	on	2
Wed	4/25/17	13	Spring	26	12	on	off	on	2
Thu	4/26/17	13	Spring	23	6	on	off	on	2
Fri	4/27/17	13	Spring	23	1	on	off	on	2
Sat	4/28/17	13	Spring	20	7	on	off	on	2
Sun	4/29/17	13	Spring	24	0	on	off	on	2
Mon	4/30/17	13	Spring	23	1	on	off	on	2
Tue	5/1/17	13	Spring	15	1	on	off	on	2
Wed	5/2/17	13	Spring	22	3	on	off	on	2
Thu	5/3/17	13	Spring	28	4	on	off	on	2
Fri	5/4/17	13	Spring	24	11	on	off	on	2
Sat	5/5/17	13	Spring	27	8	on	off	on	2
Sun	5/6/17	13	Spring	27	3	on	off	on	2
Mon	5/7/17	13	Spring	26	6	on	off	on	2
Tue	5/8/17	13	Spring	24	0	on	off	on	2
Wed	5/9/17	13	Spring	17	7	on	off	on	2
Thu	5/10/17	13	Spring	26	0	on	off	on	2
Fri	5/11/17	13	Spring	23	6	on	off	on	2
Sat	5/12/17	13	Spring	27	11	on	off	on	2
Sun	5/13/17	13	Spring	23	0	on	off	on	2
Mon	5/14/17	13	Spring	21	3	on	off	on	2
Tue	5/15/17	13	Spring	27	0	on	off	on	2
Wed	5/16/17	13	Spring	21	12	on	off	on	2
Thu	5/17/17	13	Spring	16	7	on	off	on	2
Fri	5/18/17	13	Spring	17	11	on	off	on	2
Sat	5/19/17	13	Spring	27	21	off	on	off	2
Sun	5/20/17	13	Spring	16	11	off	on	off	2
Mon	5/21/17	13	Spring	15	25	off	on	off	2
Tue	5/22/17	13	Spring	20	21	off	on	off	2
Wed	5/23/17	13	Spring	23	17	off	on	off	2
Thu	5/24/17	13	Spring	23	10	off	on	off	2
Fri	5/25/17	13	Spring	24	14	off	on	off	2
Sat	5/26/17	13	Spring	16	24	off	on	off	2
Sun	5/27/17	13	Spring	26	16	off	on	off	2
Mon	5/28/17	13	Spring	19	23	off	on	off	2
Tue	5/29/17	13	Spring	15	28	off	on	off	2
Wed	5/30/17	13	Spring	27	29	off	on	off	2
Thu	5/31/17	13	Spring	24	10	off	on	off	2
Fri	6/1/17	13	Spring	17	17	off	on	off	2
Sat	6/2/17	13	Spring	22	25	off	on	off	2
Sun	6/3/17	13	Spring	24	10	off	on	off	2
Mon	6/4/17	13	Spring	27	26	off	on	off	2
Tue	6/5/17	13	Spring	16	29	off	on	off	2
Wed	6/6/17	13	Spring	17	25	off	on	off	2
Thu	6/7/17	13	Spring	25	22	off	on	off	2
Fri	6/8/17	13	Spring	27	15	off	on	off	2
Sat	6/9/17	13	Spring	26	25	off	on	off	2
Sun	6/10/17	13	Spring	23	22	off	on	off	2
Mon	6/11/17	13	Spring	25	29	off	on	off	2
Tue	6/12/17	13	Spring	28	27	off	on	off	2
Wed	6/13/17	13	Spring	25	11	off	on	off	2
Thu	6/14/17	13	Spring	27	18	off	on	off	2
Fri	6/15/17	13	Spring	15	10	off	on	off	2
Sat	6/16/17	13	Spring	15	11	off	on	off	2
Sun	6/17/17	13	Spring	24	18	off	on	off	2
Mon	6/18/17	13	Spring	24	12	off	on	off	2
Tue	6/19/17	13	Spring	16	16	off	on	off	2
Wed	6/20/17	13	Spring	24	18	off	on	off	2
Thu	6/21/17	13	Spring	22	16	off	on	off	2
Fri	6/22/17	13	Summer	24	10	off	on	off	2
Sat	6/23/17	13	Summer	22	14	off	on	off	2
Sun	6/24/17	13	Summer	17	21	off	on	off	2
Mon	6/25/17	13	Summer	28	27	off	on	off	2
Tue	6/26/17	13	Summer	20	23	off	on	off	2
Wed	6/27/17	13	Summer	19	29	off	on	off	2
Thu	6/28/17	13	Summer	21	15	off	on	off	2
Fri	6/29/17	13	Summer	24	22	off	on	off	2
Sat	6/30/17	13	Summer	27	13	off	on	off	2
Sun	7/1/17	13	Summer	18	11	off	on	off	2
Mon	7/2/17	13	Summer	18	20	off	on	off	2
Tue	7/3/17	13	Summer	27	19	off	on	off	2
Wed	7/4/17	13	Summer	28	12	off	on	off	2
Thu	7/5/17	13	Summer	28	14	off	on	off	2
Fri	7/6/17	13	Summer	22	18	off	on	off	2
Sat	7/7/17	13	Summer	16	19	off	on	off	2
Sun	7/8/17	13	Summer	17	14	off	on	off	2
Mon	7/9/17	13	Summer	26	16	off	on	off	2
Tue	7/10/17	13	Summer	17	13	off	on	off	2
Wed	7/11/17	13	Summer	19	28	off	on	off	2
Thu	7/12/17	13	Summer	27	30	off	on	off	2
Fri	7/13/17	13	Summer	24	25	off	on	off	2
Sat	7/14/17	13	Summer	15	13	off	on	off	2
Sun	7/15/17	13	Summer	24	26	off	on	off	2
Mon	7/16/17	13	Summer	22	17	off	on	off	2
Tue	7/17/17	13	Summer	23	22	off	on	off	2
Wed	7/18/17	13	Summer	26	29	off	on	off	2
Thu	7/19/17	13	Summer	27	24	off	on	off	2
Fri	7/20/17	13	Summer	23	30	off	on	off	2
Sat	7/21/17	13	Summer	20	29	off	on	off	2
Sun	7/22/17	13	Summer	23	30	off	on	off	2
Mon	7/23/17	13	Summer	15	13	off	on	off	2
Tue	7/24/17	13	Summer	25	16	off	on	off	2
Wed	7/25/17	13	Summer	18	14	off	on	off	2
Thu	7/26/17	13	Summer	15	10	off	on	off	2
Fri	7/27/17	13	Summer	16	17	off	on	off	2
Sat	7/28/17	13	Summer	19	16	off	on	off	2
Sun	7/29/17	13	Summer	26	13	off	on	off	2
Mon	7/30/17	13	Summer	28	28	off	on	off	2
Tue	7/31/17	13	Summer	19	28	off	on	off	2
Wed	8/1/17	13	Summer	27	24	off	on	off	2
Thu	8/2/17	13	Summer	15	21	off	on	off	2
Fri	8/3/17	13	Summer	28	25	off	on	off	2
Sat	8/4/17	13	Summer	16	27	off	on	off	2
Sun	8/5/17	13	Summer	24	28	off	on	off	2
Mon	8/6/17	13	Summer	24	23	off	on	off	2
Tue	8/7/17	13	Summer	21	18	off	on	off	2
Wed	8/8/17	13	Summer	18	21	off	on	off	2
Thu	8/9/17	13	Summer	18	21	off	on	off	2
Fri	8/10/17	13	Summer	28	25	off	on	off	2
Sat	8/11/17	13	Summer	28	22	off	on	off	2
Sun	8/12/17	13	Summer	23	20	off	on	off	2
Mon	8/13/17	13	Summer	17	28	off	on	off	2
Tue	8/14/17	13	Summer	21	19	off	on	off	2
Wed	8/15/17	13	Summer	20	22	off	on	off	2
Thu	8/16/17	13	Summer	19	14	off	on	off	2
Fri	8/17/17	13	Summer	27	21	off	on	off	2
Sat	8/18/17	13	Summer	25	23	off	on	off	2
Sun	8/19/17	13	Summer	15	10	off	on	off	2
Mon	8/20/17	13	Summer	26	27	off	on	off	2
Tue	8/21/17	13	Summer	28	13	off	on	off	2
Wed	8/22/17	13	Summer	26	12	off	on	off	2
Thu	8/23/17	13	Summer	26	29	off	on	off	2
Fri	8/24/17	13	Summer	16	26	off	on	off	2
Sat	8/25/17	13	Summer	24	11	off	on	off	2
Sun	8/26/17	13	Summer	27	23	off	on	off	2
Mon	8/27/17	13	Summer	22	19	off	on	off	2
Tue	8/28/17	13	Summer	17	15	off	on	off	2
Wed	8/29/17	13	Summer	17	23	off	on	off	2
Thu	8/30/17	13	Summer	21	13	off	on	off	2
Fri	8/31/17	13	Summer	15	30	off	on	off	2
Sat	9/1/17	13	Summer	24	12	off	on	off	2
Sun	9/2/17	13	Summer	22	11	off	on	off	2
Mon	9/3/17	13	Summer	17	13	off	on	off	2
Tue	9/4/17	13	Summer	17	24	off	on	off	2
Wed	9/5/17	13	Summer	27	27	off	on	off	2
Thu	9/6/17	13	Summer	20	10	off	on	off	2
Fri	9/7/17	13	Summer	24	16	off	on	off	2
Sat	9/8/17	13	Summer	28	30	off	on	off	2
Sun	9/9/17	13	Summer	17	22	off	on	off	2
Mon	9/10/17	13	Summer	15	30	off	on	off	2
Tue	9/11/17	13	Summer	25	11	off	on	off	2
Wed	9/12/17	13	Summer	17	22	off	on	off	2
Thu	9/13/17	13	Summer	16	12	off	on	off	2
Fri	9/14/17	13	Summer	15	18	off	on	off	2
Sat	9/15/17	13	Summer	20	11	off	on	off	2
Sun	9/16/17	13	Summer	21	11	off	on	off	2
Mon	9/17/17	13	Summer	18	18	off	on	off	2
Tue	9/18/17	13	Summer	19	13	off	on	off	2
Wed	9/19/17	13	Summer	24	17	off	on	off	2
Thu	9/20/17	13	Summer	19	25	off	on	off	2
Fri	9/21/17	13	Summer	21	30	off	on	off	2
